_author_name,Author,DBLP URL,MTMT id,MTA ATT id,MTMT name,Category,MTMT Status,Works,Affiliations,Core A*,Core A,Core A* Papers,Core A Papers,Core B,Core C,No Core,Hungarian Core A* equivalent,Core A* equivalent,First Author Core A* equivalent,MTMT Journal Publications,MTMT Conference Publications,MTMT Total Citations,MTMT Journal D1 Equivalents,MTMT Journal D1,MTMT Journal Q1,MTMT Journal Q2,MTMT Affiliations,Aktuális fokozat szakterülete,Kutatási téma,MTA Bizottság,Elérhetőségek,Aktuális fokozat,Szervezeti tagságok,PhD éve,Foglalkozás,Core A* equivalent Author Order,Hungarian Core A* equivalent Author Order,First Author Core A* equivalent Author Order,Years Since PhD,Age Group,Category Core A* Rank,Category Hungarian Core A* Rank,Category First Author Core A* Rank,Age Group Core A* Rank,Age Group Hungarian Core A* Rank,Age Group First Author Core A* Rank,MTMT Journal Q3,MTMT Journal Q4,Született,MTA tagság,MTA kép,Díjak,DBLP alias
Dávid Jocha,Dávid Jocha,https://dblp.org/pid/122/5062,,,,,,hungary,Ericsson,0,0,0,0,3,5,9,0.9166666666666667,0.9166666666666667,0.16666666666666666,,,,,,,,,,,,,,,,,436,334,201,0,0-5 év,94,23,41,317,236,145,,,,,,,
József Dombi 0001,József Dombi 0001,https://dblp.org/pid/27/6119,https://m2.mtmt.hu/api/author/10008551,https://mta.hu/koztestuleti_tagok?PersonId=13257,Dombi József (Mesterséges intelligencia),theory,,hungary,SZTE,0,3,0,3,3,7,13,2.0833333333333335,2.0833333333333335,0.75,125,4,1910,41.958333333333336,30,21,20,Számítógépes Algoritmusok és Mesterséges Intelligencia Tanszék SZTE / TTIK / ITCS SZAMIT [2007-2015]; Számítógépes Algoritmusok és Mesterséges Intelligencia Tanszék SZTE / TTIK / INF SZAMIT [2016-2025]; Mesterséges Intelligencia Tanszék SZTE / TTIK / INF MIT [2025-]; HUN-REN-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / INF [2023-],Matematikai tudomány,Optimalizálás Tanuló algoritmusok Többtényezős döntések,Operációkutatási Tudományos Bizottság,"Szegedi Tudományegyetem Természettudományi és Informatikai Kar Informatikai Intézet Számítógépes Algoritmusok és Mesterséges Intelligencia Tanszék 6720 Szeged, Árpád tér 2. Magyarország Tel.: +36 62 546194 Fax: +36 62 425508",MTA doktora (2011),"Operációkutatási Tudományos Bizottság (szavazati jogú tag); Szegedi Területi Bizottság (szavazati jogú tag); Informatikai Munkabizottság (szavazati jogú tag); Matematikai Doktori Bizottság (szavazati jogú tag); V. Fizikai, Informatikai és Matematikai Szakbizottság (elnök, szavazati jogú tag)",,egyetemi tanár,204,116,201,0,0-5 év,79,53,73,139,64,145,12,10,,,https://aat.mta.hu/aat/FileData/Get/6141,,
Gabriella Kókai,Gabriella Kókai,https://dblp.org/pid/48/818,,,,applied,,hungary,SZTE,0,1,0,1,7,3,18,1.75,1.75,0.9166666666666667,,,,,,,,,,,,,,,,,283,179,201,0,0-5 év,133,105,89,197,110,145,,,,,,,
Balázs Rácz,Balázs Rácz,https://dblp.org/pid/82/4020,https://m2.mtmt.hu/api/author/10017906,-,Rácz Balázs,applied,inactive,abroad,SZTAKI,2,0,2,0,0,1,4,2.0833333333333335,2.0833333333333335,0.0,7,1,530,2.8333333333333335,2,1,3,Informatikai Kutatólaboratórium HRN SZTAKI INFKL [1979-2023],,,,,,,,,204,116,201,0,0-5 év,93,64,89,139,64,145,,,,,,,
András Micsik,András Micsik,https://dblp.org/pid/85/2382,https://m2.mtmt.hu/api/author/10017752,https://mta.hu/koztestuleti_tagok?PersonId=10063282,Micsik András (Elosztott rendszerek),applied,,hungary,SZTAKI,0,1,0,1,3,2,24,0.9999999999999999,0.9999999999999999,0.08333333333333333,42,13,679,6.25,3,1,16,Elosztott Rendszerek Osztály HRN SZTAKI DSD [1994-],Informatikatudomány,Szemantikus Web Tudásgráfok,Informatikai Tudományos Bizottság,"Számítástechnikai és Automatizálási Kutatóintézet 1111 Budapest, Kende utca 13-17. Magyarország Email: micsik@sztaki.hu",PhD (2001),Informatikai Tudományos Bizottság,2001,,436,334,201,24,20+ év,217,200,89,44,43,25,3,,Budapest,,,,
Gergö Balogh,Gergö Balogh,https://dblp.org/pid/137/0554,https://m2.mtmt.hu/api/author/10055619,https://mta.hu/koztestuleti_tagok?PersonId=10069328,Balogh Gergő (Szoftver fejlesztés),applied,,hungary,SZTE,0,2,0,2,0,9,5,1.4166666666666665,1.4166666666666665,1.0833333333333333,6,0,136,1.2291666666666665,,2,3,Szoftverfejlesztés Tanszék SZTE / TTIK / INF SZFT [2016-]; MTA-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / INF [2016-2022]; Szoftverfejlesztés Tanszék SZTE / TTIK / ITCS SZFT [2007-2015]; Informatika Doktori Iskola SZTE / DI IDI [2008-]; HUN-REN-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / INF [2023-]; ELKH-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / INF [2022-2023],Informatika,,Informatikai Tudományos Bizottság,"Szegedi Tudományegyetem Természettudományi és Informatikai Kar Informatikai Intézet Szoftverfejlesztés Tanszék 6720 Szeged, Dugonics tér 13. Magyarország Email: geryxyz@inf.u-szeged.hu",PhD (2020),Informatikai Tudományos Bizottság,2020,,283,179,107,5,0-5 év,133,105,35,197,110,75,,1,1987.06.01,,,,
Domokos M. Kelen,Domokos M. Kelen,https://dblp.org/pid/204/6355,https://m2.mtmt.hu/api/author/10062192,-,Kelen Domokos Miklós (Alkalmazott matematika),theory,,hungary,SZTAKI 2016-; ELTE -2021; Google - Internship 2020-2020; SZTAKI 2016-; ELTE -2021; Google - Internship 2020-2020,2,0,2,0,0,0,9,2.0,2.0,2.0,4,1,101,0.8333333333333333,,2,1,Informatikai Kutatólaboratórium HRN SZTAKI INFKL [1979-2023]; PhD Informatika Doktori Iskola ELTE / IK PhD_Inf_DI [2006-]; Járműipari Kutatóközpont SZE JKK [2011-]; Mesterséges Intelligencia Kutatólaboratórium HRN SZTAKI IL [2024-],,,,,,,,,204,116,62,0,0-5 év,79,53,40,139,64,52,,,,,,,
Ákos Kiss 0001,Ákos Kiss 0001,https://dblp.org/pid/22/2413-1,https://m2.mtmt.hu/api/author/10022627,https://mta.hu/koztestuleti_tagok?PersonId=24265,Kiss Ákos (számítástudomány),theory,,hungary,SZTE,0,2,0,2,4,8,16,2.0,2.0,0.08333333333333333,20,6,988,3.895833333333334,1,5,7,Matematika- és Számítástudományok Doktori Iskola SZTE / DI MDI [2000-2021]; Szoftverfejlesztés Tanszék SZTE / TTIK / INF SZFT [2016-]; Szoftverfejlesztés Tanszék SZTE / TTIK / ITCS SZFT [2007-2015]; MTA-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTK / ITCS [2000-2006],Informatikai tudomány,,Informatika- és Számítástudományi Bizottság,"Szegedi Tudományegyetem Természettudományi és Informatikai Kar Informatikai Intézet Szoftverfejlesztés Tanszék 6720 Szeged, Dugonics tér 13. Magyarország",PhD (2009),Informatika- és Számítástudományi Bizottság; Szegedi Területi Bizottság; Informatikai Munkabizottság (szavazati jogú tag); Neumann János Számítógép-tudományi Társaság,2009,,204,116,201,16,10-20 év,79,53,73,32,25,26,,1,"Mohács, 1977.07.31.",,,,
Márton Benedek,Márton Benedek,https://dblp.org/pid/275/2829,https://m2.mtmt.hu/api/author/10070010,-,Benedek Márton (operációkutatás),theory,,hungary,Corvinus,1,0,1,0,1,0,0,1.1666666666666667,1.1666666666666667,1.1666666666666667,8,0,53,2.5,2,1,1,Közgazdaságtudományi Intézet MTA KRTK KTI [2012-2019]; Operációkutatás és Aktuáriustudományok Tanszék BCE / MSMI OAT [2016-2022]; Közgazdaság-tudományi Intézet HRN KRTK KTI [2019-2025]; Operációkutatás és Aktuáriustudományok Tanszék BCE / ODI OAT [2022-]; Közgazdaságtudományi Kutatóintézet ELTE / KRTK KTI [2025-],,,,,,,,,283,179,107,0,0-5 év,96,71,55,197,110,75,,,,,,,
Zsombor L. Hajdú,Zsombor L. Hajdú,https://dblp.org/pid/298/4071,,,,applied,inactive,abroad,BME-TMIT -2022; ETH Zurich 2023-; BME-TMIT -2022; ETH Zurich 2023-,2,0,2,0,0,0,0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,204,116,201,0,0-5 év,93,64,89,139,64,145,,,,,,,
Péter Kersch,Péter Kersch,https://dblp.org/pid/337/3491,,,,applied,,company,BME-HIT -2008; Ericsson Research 2009-,2,0,2,0,0,0,1,2.0,2.0,0.0,,,,,,,,,,,,,,,,,204,116,201,0,0-5 év,93,64,89,139,64,145,,,,,,,
Sebestyen Dóra,Sebestyen Dóra,https://dblp.org/pid/41/4347,,,,applied,inactive,company,Vanderbilt University 2002-2005; Hungarian companies 2006-; Vanderbilt University 2002-2005; Hungarian companies 2006-,2,0,2,0,0,0,0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,204,116,201,0,0-5 év,93,64,89,139,64,145,,,,,,,
András Hajnal,András Hajnal,https://dblp.org/pid/50/1046,,,,theory,,abroad,N/University of California Berkeley,2,0,2,0,0,0,0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,204,116,62,0,0-5 év,79,53,40,139,64,52,,,,,,,
Károly Csalogány,Károly Csalogány,https://dblp.org/pid/54/2104,https://m2.mtmt.hu/api/author/10017889,-,Csalogány Károly (Informatika),applied,inactive,retired,SZTAKI,1,0,1,0,1,0,9,1.1666666666666667,1.1666666666666667,0.0,2,0,513,1,1,,,Informatikai Kutatólaboratórium HRN SZTAKI INFKL [1979-2023],,,,,,,,,283,179,201,0,0-5 év,133,105,89,197,110,145,,,,,,,
László Monostori,László Monostori,https://dblp.org/pid/m/LMonostori,https://m2.mtmt.hu/api/author/2149153,https://mta.hu/koztestuleti_tagok?PersonId=10459,Monostori László (Gyártási folyamatok automatizálása),applied,,hungary,SZTAKI,0,1,0,1,2,13,11,1.75,1.75,0.3333333333333333,153,46,8813,40.333333333333336,31,20,14,Gépészeti Informatika Tanszék BME / GPK [2002-2007]; Gyártástudomány és -technológia Tanszék BME / GPK GTT [2007-]; Mérnöki és Üzleti Intelligencia Kutatólaboratórium HRN SZTAKI [1977-]; Pattantyús-Ábrahám Géza Doktori Iskola Tanácsa BME / EHBDT [2002-]; Pattantyús-Ábrahám Géza Doktori Iskola törzstagjai BME / EHBDT [2002-]; Budapesti Műszaki és Gazdaságtudományi Egyetem BME [2000-]; Budapesti Műszaki Egyetem BME [1949-2000],-,Intelligens gyártási folyamatok és rendszerek Valósidejű kooperatív vállalatok Változások és zavarok kezelése gyártási struktúrákban,Automatizálási és Számítástechnikai Tudományos Bizottság,"Budapesti Műszaki és Gazdaságtudományi Egyetem Gépészmérnöki Kar Gyártástudomány és -technológia Tanszék 1111 Budapest, Műegyetem rakpart 3-9. Magyarország; Számítástechnikai és Automatizálási Kutatóintézet Mérnöki és Üzleti Intelligencia Kutatólaboratórium 1111 Budapest, Kende utca 13-17. Magyarország Tel.: +36 1 2796159 Fax: +36 1 4667503 Email: monostori.laszlo@sztaki.hu Honlap: http://www.emi.sztaki.hu/monostori",rendes tag (2016),"Akadémiai Kutatóhelyek Vezetőinek Tanácsa (szavazati jogú tag); A Magyar Tudományos Akadémia által Kiválónak Elismert Kutatóhely” (MTA Kiváló Kutatóhely) Minősítést Előkészítő Elnökségi Bizottság (szavazati jogú tag); Anyagtudományi és Technológiai Tudományos Bizottság (szavazati jogú tag); Automatizálási és Számítástechnikai Tudományos Bizottság (szavazati jogú tag); Informatikai Tudományos Bizottság (szavazati jogú tag); Logisztikai Osztályközi Állandó Bizottság (szavazati jogú tag, tanácskozási jogú tag); BME Gépészmérnöki Kar Gépészeti Doktori Iskola (alapító tag); BME Gépészmérnöki Kar Habilitációs Bizottság és Doktori Tanács; Magyar Mérnökakadémia; Pannon Egyetem Informatikai Tudományok Doktori Iskola Tanács; Periodica Polytechnica - Civil Engineering (szerkesztőbizottsági tag); European Academy on Industrial Management (rendes tag); The International Academy for Production Engineering Research (rendes tag); Academic Journal of Manufacturing Engineering (szerkesztőbizottsági tag); Belga Királyi Flamand Tudományos és Művészeti Akadémia (külföldi tag); CIRP Board; CIRP President-Elect; Coordination Committee on Manufacturing and Logistics System (elnök); European Manufacturing and Innovation Research Association; IFAC TC on Manufacturing Modelling for Management and Control; IFAC TC on Manufacturing Plant Control; Institute of Electrical and Electronics Engineers Computer Society; International Academy for Production Engineering (rendes tag); International Federation for Information Processing Special Interest Group on Advanced Techniques in Production Planning @ Control; International Federation of Automatic Control Technical Committee [TC] on MAnufacturing Modelling, Management & Control (elnök); International Measurement Confederation TC10 on Technical Diagnostics (elnök); Metrology and Measurement Systems (szerkesztőbizottsági tag); CIRP Journal of Manufacturing Systems (főszerkesztő-helyettes); Computers in Industry, Elsevier (főszerkesztő-helyettes); Gépgyártás; International Journal of Simulation Modelling (szerkesztőbizottsági tag); Production Engineering and Computer (szerkesztőbizottsági tag)",,egyetemi tanár,283,179,201,0,0-5 év,133,105,89,197,110,145,4,,"Budapest, 1953.01.16.",,https://aat.mta.hu/aat/FileData/Get/200,"Magyar Érdemrend Középkereszt polgári tagozat: 2023; Széchenyi-díj: 2016; Outstanding Services Award (ISHS Gyümölcsművelési Rendszerek Szakb.): 2011; Magyar Köztársasági Érdemrend lovagkeresztje (Magyarország Köztársasági Elnöke): 2010; Benedikt Ottó-díj (MTA Számítástechnikai és Automatizálási Kutatóintézete): 2007; Gábor Dénes-díj: 2004; Kutatói Díj (11 alkalommal, SZTAKI): 1980",
Balázs Szegedy,Balázs Szegedy,https://dblp.org/pid/77/3602,https://m2.mtmt.hu/api/author/10011745,https://mta.hu/koztestuleti_tagok?PersonId=17329,Szegedy Balázs (Csoport elmélet),theory,,hungary,"Rényi 2013-; Microsoft Research 2003-2005; University of Toronto at Scarborough, Canada 2006-2012",2,0,1,0,0,0,0,1.0,2.0,0.0,47,0,2786,29.25,22,21,1,Lendület Struktúrák Limeszei Kutatócsoport HRN RAMKI [2013-]; Matematika Doktori Iskola ELTE / TTK PhD_Mat_DI [2006-]; MTA Rényi Alfréd Matematikai Kutatóintézet MTA RAMKI [1955-2019]; Mesterséges Intelligencia HRN RAMKI MIT; Rényi Alfréd Matematikai Kutatóintézet RAMKI [2019-2023]; HUN-REN Rényi Alfréd Matematikai Kutatóintézet HRN RAMKI [2024-],Matematikai tudomány,Csoport elmélet Kombinatorika,Matematikai Tudományos Bizottság,"Rényi Alfréd Matematikai Kutatóintézet 1053 Budapest, Reáltanoda utca 13-15 Magyarország; University of Toronto Faculty of Arts and Sciences Department of Mathematics M5S 2E4 Toronto, Bahen Centre, 40 St. George Street Kanada Tel.: +1 416 9783323",levelező tag (2025),Matematikai Tudományos Bizottság (szavazati jogú tag),2003,egyetemi adjunktus,204,179,201,22,20+ év,79,71,73,30,31,25,1,,1974.06.22,,https://aat.mta.hu/aat/FileData/Get/41902,Akadémiai Díj (Magyar Tudományos Akadémia Elnöksége): 2022; Fulkerson Prize: 2012,
László Szekeres,László Szekeres,https://dblp.org/pid/130/3584,,,,,,hungary,"Research Scientist, Google",2,0,0,0,0,0,5,0.0,2.0,0.0,,,,,,,,,,,,,,,,,204,334,201,0,0-5 év,34,23,41,139,236,145,,,,,,,
Bálint Tillman,Bálint Tillman,https://dblp.org/pid/152/9512,,,,,,hungary,"University of California, Irvine",2,0,0,0,0,0,1,0.0,2.0,1.0,,,,,,,,,,,,,,,,,204,334,107,0,0-5 év,34,23,19,139,236,75,,,,,,,
Tibor Tihon,Tibor Tihon,https://dblp.org/pid/255/6143,,,,,,hungary,Google,2,0,0,0,0,0,0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,204,334,201,0,0-5 év,34,23,41,139,236,145,,,,,,,Balázs P. Vágvölgyi
Oliver Kiss,Oliver Kiss,https://dblp.org/pid/260/6990,,,,applied,,company,Spreadmonitor,1,3,0,1,0,0,0,0.3333333333333333,2.0,0.0,,,,,,,,,,,,,,,,,204,334,201,0,0-5 év,93,200,89,139,236,145,,,,,,,
János Kertész,János Kertész,https://dblp.org/pid/51/8194,,,,,,hungary,"Central European University, Vienna",1,0,0,0,1,0,1,0.0,1.1666666666666667,0.0,,,,,,,,,,,,,,,,,283,334,201,0,0-5 év,56,23,41,197,236,145,,,,,,,
Áron Szentesi,Áron Szentesi,https://dblp.org/pid/54/2121,,,,applied,inactive,company,BME-TMIT; Ericsson Hungary,1,2,1,2,0,2,0,1.8333333333333333,1.8333333333333333,0.0,,,,,,,,,,,,,,,,,283,179,201,0,0-5 év,133,105,89,197,110,145,,,,,,,
Tadeusz P. Dobrowiecki,Tadeusz P. Dobrowiecki,https://dblp.org/pid/23/143,https://m2.mtmt.hu/api/author/10001314,https://mta.hu/koztestuleti_tagok?PersonId=17253,Dobrowiecki Tadeusz (Intelligens rendszerek méréstechnikában és rendszer identifikációban),,,,,0,2,0,0,1,4,11,0.0,1.1666666666666665,0.0,42,8,1321,8.083333333333334,6,2,8,Budapesti Műszaki Egyetem BME [1949-2000]; Méréstechnika és Információs Rendszerek Tanszék BME / VIK MIT [2000-2024]; Mesterséges Intelligencia és Rendszertervezés Tanszék BME / VIK MIT [2024-],Informatika,Intelligens ágensek számítógépes hálózatokban Mesterséges intelligencia a rendszer identifikációban Nemlineáris rendszerek modellezése és identifikációja,Automatizálási és Számítástechnikai Tudományos Bizottság,"Budapesti Műszaki és Gazdaságtudományi Egyetem Villamosmérnöki és Informatikai Kar Mesterséges Intelligencia és Rendszertervezés Tanszék 1117 Budapest, Magyar Tudósok Körútja 2. Magyarország Tel.: +36 1 4632899 Fax: +36 1 4634112",MTA doktora (2018),Automatizálási és Számítástechnikai Tudományos Bizottság,,Egyetemi docens,283,334,201,0,0-5 év,56,23,41,197,236,145,1,,,,,,
Gábor Szárnyas,Gábor Szárnyas,https://dblp.org/pid/151/1414,https://m2.mtmt.hu/api/author/10045162,-,Szárnyas Gábor (információs rendszerek),applied,inactive,company,BME-MIT,1,0,1,0,3,2,23,1.6666666666666667,1.6666666666666667,0.3333333333333333,16,3,433,4.25,3,1,5,Méréstechnika és Információs Rendszerek Tanszék BME / VIK MIT [2000-2024]; MTA-BME Lendület Kiber-fizikai Rendszerek Kutatócsoport BME / VIK / MIT [2015-],,,,,,,,,283,179,201,0,0-5 év,133,105,89,197,110,145,1,,,,,,
Attila Szatmári,Attila Szatmári,https://dblp.org/pid/262/9465,https://m2.mtmt.hu/api/author/10075337,-,Szatmári Attila (informatika),applied,inactive,hungary,SZTE,0,4,0,4,1,2,6,1.6666666666666667,1.6666666666666667,0.75,1,0,50,0.3333333333333333,,1,,Szoftverfejlesztés Tanszék SZTE / TTIK / INF SZFT [2016-]; Informatika Doktori Iskola SZTE / DI IDI [2008-],,,,,,,,,283,179,201,0,0-5 év,133,105,89,197,110,145,,,,,,,
Ákos Utasi,Ákos Utasi,https://dblp.org/pid/28/2831,https://m2.mtmt.hu/api/author/10017780,-,Utasi Ákos (Számítógépes látás),applied,inactive,company,Continental AG,0,3,0,2,2,3,10,0.8333333333333333,1.5833333333333333,1.0833333333333333,9,5,176,1.5,,3,3,Elosztott Események Elemzése Kutatócsoport MTA SZTAKI [1991-2016],,,,,,,,,283,334,107,0,0-5 év,133,200,35,197,236,75,,,,rendes tag,,,
Vince Molnár,Vince Molnár,https://dblp.org/pid/160/7803,https://m2.mtmt.hu/api/author/10049620,https://mta.hu/koztestuleti_tagok?PersonId=10061134,Molnár Vince (informatika),applied,,hungary,BME-MIT,0,5,0,5,0,2,11,1.8333333333333335,1.8333333333333335,0.3333333333333333,21,8,177,3.333333333333333,,3,12,Méréstechnika és Információs Rendszerek Tanszék BME / VIK MIT [2000-2024]; MTA-BME Lendület Kiber-fizikai Rendszerek Kutatócsoport BME / VIK / MIT [2015-]; Kritikus Rendszerek Kutatócsoport BME / VIK / MIT ftsrg [2021-]; Mesterséges Intelligencia és Rendszertervezés Tanszék BME / VIK MIT [2024-],Informatikai tudomány,Formális módszerek Modellalapú szoftver-/rendszertervezés,Informatikai Tudományos Bizottság,"Budapesti Műszaki és Gazdaságtudományi Egyetem Villamosmérnöki és Informatikai Kar Mesterséges Intelligencia és Rendszertervezés Tanszék 1117 Budapest, Magyar Tudósok Körútja 2. Magyarország",PhD (2020),Informatikai Tudományos Bizottság,2020,,283,179,201,5,0-5 év,133,105,89,197,110,145,4,,"Budapest, 1991.06.03.",,https://aat.mta.hu/aat/FileData/Get/29472,,
Nick Brettel,Nick Brettel,https://dblp.org/pid/163/1776,https://m2.mtmt.hu/api/author/10058145,-,Brettel Nick (Paraméteres algoritmusok),theory,inactive,abroad,abroad,0,2,0,1,7,0,1,0.5,1.8333333333333335,0.8333333333333333,1,1,6,0.16666666666666666,,,1,Paraméteres Algoritmusok és Bonyolultság Kutatócsoport SZTAKI [2012-2020],,,,,,,,,283,334,201,0,0-5 év,96,113,73,197,236,145,,,,,,,
Péter Gyimesi,Péter Gyimesi,https://dblp.org/pid/163/9153,https://m2.mtmt.hu/api/author/10055027,-,Gyimesi Péter (Informatika),applied,,hungary,ELTE,1,1,1,1,0,3,2,1.5833333333333333,1.5833333333333333,0.41666666666666663,6,1,233,2.083333333333333,1,2,2,Szoftverfejlesztés Tanszék SZTE / TTIK / ITCS SZFT [2007-2015]; Informatika Doktori Iskola SZTE / DI IDI [2008-]; Szoftverfejlesztés Tanszék SZTE / TTIK / INF SZFT [2016-],,,,,,,,,283,179,201,0,0-5 év,133,105,89,197,110,145,1,,,,,,
Tamás Gábor Csapó,Tamás Gábor Csapó,https://dblp.org/pid/24/8420,https://m2.mtmt.hu/api/author/10041912,-,Csapó Tamás Gábor (beszédszintézis),applied,inactive,retired,BME-TMIT,0,3,0,3,0,5,45,1.4166666666666667,1.4166666666666667,0.08333333333333333,52,6,926,5.145833333333333,1,8,7,Távközlési és Médiainformatikai Tanszék BME / VIK TMIT [2003-2024]; MTA-ELTE Lendület Lingvális Artikuláció Kutatócsoport ELTE / BTK / MNyTudFu_I [2016-]; Távközlési és Mesterséges Intelligencia Tanszék BME / VIK TMIT [2024-],,,,,,,,,283,179,201,0,0-5 év,133,105,89,197,110,145,3,1,,,,,
Csanád Imreh,Csanád Imreh,https://dblp.org/pid/45/383,https://m2.mtmt.hu/api/author/10011468,-,Imreh Csanád (Számítástudomány),theory,,hungary,SZTE,0,4,0,4,3,0,1,1.8333333333333333,1.8333333333333333,0.16666666666666666,51,9,351,9.333333333333334,3,7,20,Számítógépes Algoritmusok és Mesterséges Intelligencia Tanszék SZTE / TTIK / INF SZAMIT [2016-2025]; Számítógépes Algoritmusok és Mesterséges Intelligencia Tanszék SZTE / TTIK / ITCS SZAMIT [2007-2015]; Matematika- és Számítástudományok Doktori Iskola SZTE / DI MDI [2000-2021],,,,,,,,,283,179,201,0,0-5 év,96,71,73,197,110,145,8,,,,,,
Peter Barta,Peter Barta,https://dblp.org/pid/80/1179,,,,applied,inactive,company,BME-TMIT; Ericsson Hungary,1,1,1,1,2,1,1,1.7499999999999998,1.7499999999999998,0.5833333333333334,,,,,,,,,,,,,,,,,283,179,201,0,0-5 év,133,105,89,197,110,145,,,,,,,
Márton Erdős,Márton Erdős,https://dblp.org/pid/238/5530,,,,,,hungary,University of Cambridge,1,2,0,0,0,1,0,0.0,1.7499999999999998,1.0,,,,,,,,,,,,,,,,,283,334,107,0,0-5 év,56,23,19,197,236,75,,,,,,,
Attila Kertész,Attila Kertész,https://dblp.org/pid/k/AttilaKertesz,https://m2.mtmt.hu/api/author/10017735,https://mta.hu/koztestuleti_tagok?PersonId=31620,Kertész Attila (Párhuzamos és elosztott rendszerek),,,,,0,0,0,0,2,18,39,0.5,1.8333333333333333,0.25,74,18,2393,17.520833333333336,6,17,30,Informatika Doktori Iskola SZTE / DI IDI [2008-]; Szoftverfejlesztés Tanszék SZTE / TTIK / ITCS SZFT [2007-2015]; Párhuzamos és Elosztott Rendszerek Kutatólaboratórium HRN SZTAKI [1992-]; Szoftverfejlesztés Tanszék SZTE / TTIK / INF SZFT [2016-],Informatika,"Blokklánc, IoT, Köd és Felhő rendszerek vizsgálata",Informatikai Tudományos Bizottság,"Szegedi Tudományegyetem Természettudományi és Informatikai Kar Informatikai Intézet 6720 Szeged, Aradi vértanúk tere 1. Magyarország Honlap: https://www.inf.u-szeged.hu/~keratt/",MTA doktora (2024),Informatikai Tudományos Bizottság; Szegedi Területi Bizottság; Informatikai Munkabizottság (szavazati jogú tag),2011,,283,334,201,14,10-20 év,56,23,41,43,43,26,5,7,,,,Természettudományos Díj: 2020; Új Nemzeti Kiválóság Posztdoktori Ösztöndíj: 2017 - 2018; Bolyai János Kutatási Ösztöndíj (MTA Bolyai János Kutatási Ösztöndíj Kuratóriuma): 2016 - 2020; Dékáni dicséret (Pécsi Tudományegyetem): 2016; Új Nemzeti Kiválóság Posztdoktori Ösztöndíj: 2016 - 2017; Intézeti díj (MTA SZTAKI): 2015; Farkas Gyula-emlékdíj (Bolyai János Matematikai Társulat): 2014; Magyary Zoltán posztdoktori ösztöndíj: 2013 - 2014; Intézeti díj (MTA SZTAKI): 2012; Intézeti díj (MTA SZTAKI): 2012; Akadémiai Ifjúsági Díj (Magyar Tudományos Akadémia): 2011,
Johanna Sápi,Johanna Sápi,https://dblp.org/pid/121/0534,https://m2.mtmt.hu/api/author/10036432,https://mta.hu/koztestuleti_tagok?PersonId=10063239,Sápi Johanna (Egészségügyi mérnök),,,,,0,2,0,0,0,11,1,0.16666666666666666,1.5833333333333333,0.4166666666666667,23,5,729,4.8125,2,4,5,Élettani Szabályozások Kutatóközpont ÓE / EKIK ÉSZK [2014-]; Biomatika Intézet ÓE / NIK BMI [2016-2019]; Irányítástechnika és Informatika Tanszék BME / VIK IIT [2000-]; Biomatika és Alkalmazott Mesterséges Intelligencia Intézet ÓE / NIK BMI [2019-]; Alkalmazott Informatikai és Alkalmazott Matematikai Doktori Iskola ÓE [2010-],Informatika,"Biológiai rendszerek, irányítástechnika, kórélettani modellezés, rendszer identifikáció, daganat terápia",Informatikai Tudományos Bizottság,"Óbudai Egyetem Neumann János Informatikai Kar Biomatika és Alkalmazott Mesterséges Intelligencia Intézet 1034 Budapest, Bécsi út 96/B Magyarország Email: sapi.johanna@nik.uni-obuda.hu",PhD (2015),Informatikai Tudományos Bizottság,2015,,283,334,201,10,5-10 év,56,23,41,10,15,8,7,1,1986.01.07,,,,
László Kopácsi,László Kopácsi,https://dblp.org/pid/249/8113,https://m2.mtmt.hu/api/author/10071434,-,Kopácsi László (Mély neurális hálózatok),applied,inactive,abroad,German Research Centre for Artificial Intelligence,0,3,0,3,0,3,4,1.0833333333333333,1.25,0.5833333333333333,6,0,10,0.8333333333333333,,1,2,PhD Informatika Doktori Iskola ELTE / IK PhD_Inf_DI [2006-]; Mesterséges Intelligencia Tanszék ELTE / IK [2019-],,,,,,,,,283,179,201,0,0-5 év,133,105,89,197,110,145,2,,,,,,
István Nagy T.,István Nagy T.,https://dblp.org/pid/52/10057,,,,,,hungary,SZTE,1,0,1,0,2,5,10,1.75,1.75,0.3333333333333333,,,,,,,,,,,,,,,,,283,179,201,0,0-5 év,56,5,41,197,110,145,,,,,,,
